Price,Mileage
3995,130753
6998,82123
11715,148283
13799,45440
17950,3835
6999,172691
11982,64200
11888,99448
17200,6198
9995,86685
10900,92106
8950,142000
10500,81000
6991,111459
3995,130753
5500,161205
17200,6198
14788,12281
14648,40221
15500,31550
18395,34229
3975,211406
4995,238173
2600,223682
1871,221854
1995,235000
1200,255766
1700,210000
11888,104130
7450,83829
8777,110654
9798,113233
3900,169000
2900,200000
10995,101000
1500,216000
9995,112593
1150,201000
6450,131000